timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-06 01:49:00,11.6,67.4,3.0,23.2,211719680,45301760,955,175,29842,6255,19,37,186,1,0,36,8,4,2,22,1,3
2026-08-06 01:49:05,11.1,67.5,3.0,23.2,218322944,37601280,1068,119,298,1730,4,17,186,0,0,36,7,4,3,22,1,3
2026-08-06 01:49:10,12.7,67.7,3.0,23.2,216371712,44412928,933,73,261,329,2,3,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:15,12.0,67.5,3.0,23.2,237837824,37404672,1259,139,2054,1085,11,7,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:20,10.2,67.2,2.9,23.2,134997504,31236096,656,108,233,280,2,3,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:25,10.3,67.3,2.9,23.2,69619200,22220800,894,54,0,258,0,2,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:30,10.0,67.4,2.9,23.2,108869120,30515200,576,51,10661,86,4,1,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:35,10.6,67.4,2.9,23.2,179334656,54874112,773,219,7931,1671,7,12,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:40,10.6,67.5,2.9,23.2,206877696,51859456,901,77,390,528,4,4,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:45,11.1,66.9,2.9,23.2,102573568,79618048,558,158,0,258,0,2,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:50,10.8,67.0,2.9,23.2,127421440,85913600,279,113,75,86,1,1,186,0,0,34,7,2,3,22,1,3
2026-08-06 01:49:55,10.5,67.0,2.9,23.3,142111232,106754048,614,139,223,320,3,4,186,0,0,32,6,2,2,22,1,3
2026-08-06 01:50:00,11.1,67.2,2.9,23.3,138892800,58105856,599,82,210,280,2,3,186,0,0,32,6,2,2,22,1,3
2026-08-06 01:50:05,10.5,67.2,2.9,23.3,234464256,117411840,1011,200,32531,4672,15,26,186,0,0,32,6,2,2,22,1,3
2026-08-06 01:50:10,9.9,67.1,2.9,23.3,149851136,120254464,564,148,0,74,0,1,186,0,0,32,6,2,2,22,1,3
2026-08-06 01:50:15,10.4,67.0,2.9,23.3,153125888,77705216,597,99,17411,3138,7,13,186,0,0,32,6,2,2,22,1,3
2026-08-06 01:50:20,10.5,67.0,2.9,23.3,225494528,58060800,1713,85,15718,28799,31,49,186,0,0,33,8,2,1,22,1,3
2026-08-06 01:50:25,7.8,66.9,2.9,23.3,95183360,32514048,498,107,9621,5783,10,15,186,0,0,34,9,2,1,22,1,3
2026-08-06 01:50:30,2.9,66.8,2.9,23.3,0,26439680,0,38,448,341,3,3,186,0,0,33,9,1,1,22,1,3
2026-08-06 01:50:35,3.7,66.7,2.8,23.3,7779840,15839232,202,36,14043,1614,16,12,186,0,0,33,8,1,2,22,1,3
2026-08-06 01:50:40,17.0,75.7,2.8,23.3,614247424,20013056,10283,271,13272,14198,31,41,195,9,2,34,9,1,2,22,1,3
2026-08-06 01:50:45,50.6,86.4,2.7,23.3,1131432960,29569024,6849,715,127448,187843,299,264,213,18,3,63,36,1,2,23,1,3
2026-08-06 01:50:50,22.7,82.3,3.2,23.3,154141184,43700224,3438,320,325602,320748,881,571,204,0,0,105,73,2,2,23,1,3
2026-08-06 01:50:55,20.5,88.2,3.3,23.3,292383232,23859200,2015,715,211890,246517,611,467,205,1,0,84,48,3,2,24,1,3
2026-08-06 01:51:00,12.8,86.4,4.6,23.3,199221248,109547520,2255,321,141159,90938,323,265,205,0,0,73,36,4,2,24,1,3
2026-08-06 01:51:05,4.5,85.9,4.6,23.3,4007424,7938048,117,256,113068,74939,181,199,206,1,0,68,35,5,2,24,1,3
2026-08-06 01:51:10,4.2,81.1,4.6,23.3,5032448,25387008,91,474,148139,42568,216,149,206,0,0,68,36,5,2,24,1,3
2026-08-06 01:51:15,3.8,80.7,4.6,23.3,1314304,1200128,31,202,150292,37532,167,161,206,0,0,66,34,5,2,24,1,3
2026-08-06 01:51:20,2.7,80.3,4.6,23.3,2799616,831488,87,130,153714,31067,138,120,206,0,0,64,29,7,2,24,1,3
2026-08-06 01:51:25,9.2,77.3,4.6,23.3,19998720,905216,932,112,153924,23505,144,116,211,5,0,63,27,8,2,24,1,3
2026-08-06 01:51:30,4.6,75.4,4.6,23.3,3786240,2461696,154,77,98580,22317,91,89,210,0,0,58,23,8,2,24,1,3
2026-08-06 01:51:35,2.2,75.3,4.6,23.3,98304,307200,5,46,140394,7024,92,80,210,0,0,58,23,8,2,24,1,3
2026-08-06 01:51:40,3.1,75.0,4.6,23.3,49664,475136,6,57,142358,7809,102,88,210,0,0,57,22,9,1,24,1,3
2026-08-06 01:51:45,2.0,74.9,4.6,23.3,159744,479232,6,82,151329,21491,115,111,210,0,0,57,22,9,1,24,1,3
2026-08-06 01:51:50,3.0,74.7,4.6,23.3,716800,106496,33,15,139848,21560,93,97,210,0,0,57,21,9,1,24,1,3
2026-08-06 01:51:55,2.0,74.7,4.6,23.3,114688,36864,3,7,135552,7604,91,89,210,0,0,57,21,10,1,24,1,3
2026-08-06 01:52:00,3.6,74.7,4.6,23.3,98304,24576,3,6,143900,7514,91,85,210,0,0,57,20,10,2,24,1,3
2026-08-06 01:52:05,1.7,74.7,4.6,23.3,217088,2277376,5,398,135379,7610,85,86,210,0,0,57,20,10,2,24,1,3
2026-08-06 01:52:10,2.6,74.4,4.6,23.3,32768,106496,1,20,135066,6855,83,79,208,0,0,57,20,10,2,24,1,3
2026-08-06 01:52:15,3.0,74.7,4.6,23.3,274432,90112,14,7,137034,7474,90,87,207,0,0,55,19,10,2,24,1,3
2026-08-06 01:52:20,4.8,74.6,4.6,23.3,1101824,139264,37,27,154867,8289,110,92,207,0,0,56,20,10,2,24,1,3
2026-08-06 01:52:25,6.0,75.2,4.6,23.3,282624,376832,11,34,126922,42920,104,131,205,0,0,57,21,10,2,24,1,3
2026-08-06 01:52:30,4.6,75.6,4.6,23.3,32768,626688,1,22,135661,7981,90,87,205,0,0,57,21,10,2,24,1,3
2026-08-06 01:52:35,4.9,76.1,4.6,23.3,4096,192512,1,27,138755,7863,100,92,205,0,0,55,19,10,2,24,1,3
2026-08-06 01:52:40,8.6,77.0,4.6,23.3,19083264,487424,169,27,103622,13112,78,82,205,0,0,54,18,10,2,24,1,3
2026-08-06 01:52:45,4.7,76.6,4.6,23.3,6741504,163840,186,28,149006,8138,104,94,205,0,0,58,22,10,2,24,1,3
2026-08-06 01:52:50,4.3,75.1,4.6,23.3,301662208,790528,400,74,214805,80728,226,216,206,1,0,63,23,9,2,24,1,3
2026-08-06 01:52:55,4.6,75.1,4.6,23.3,11470336,876544,268,91,183402,125295,259,257,207,1,0,65,32,7,2,24,1,3
2026-08-06 01:53:00,4.0,75.1,4.6,23.3,815104,299008,22,19,143870,230737,304,311,207,0,0,67,34,5,1,24,1,3
2026-08-06 01:53:05,3.0,75.7,4.2,23.3,11437056,884736,328,52,90599,242799,212,243,208,1,1,65,33,5,1,24,1,3
2026-08-06 01:53:10,4.4,75.6,4.2,23.3,1703936,1228800,32,142,90190,243460,220,256,208,0,0,64,30,5,2,24,1,3
2026-08-06 01:53:16,7.8,58.2,4.2,23.3,6201856,1564672,229,87,84839,68457,138,115,191,0,0,62,30,5,2,22,1,3
2026-08-06 01:53:21,3.5,57.7,4.2,23.3,905216,679936,18,70,63157,101222,96,118,191,0,0,56,30,2,2,22,1,3
2026-08-06 01:53:26,3.4,57.6,4.2,23.3,765952,1155072,15,79,21664,149385,118,149,191,1,0,56,31,2,1,22,1,3
2026-08-06 01:53:31,3.2,57.5,4.2,23.3,454656,307200,7,32,47139,155985,146,187,191,0,0,62,36,2,2,22,1,3
2026-08-06 01:53:36,4.0,57.5,4.2,23.3,319488,364544,7,26,13598,273342,159,220,191,0,0,62,36,2,2,22,1,3
