timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-08 17:56:25,8.6,93.0,4.1,23.4,17,5,532480,15249408,18,133,818447,17918604,10840,13031,226,0,0,165,126,7,0,30
2026-08-08 17:56:30,13.8,87.4,4.1,23.4,17,5,7290880,21422080,46,124,554205,11867907,7230,8539,226,0,0,163,122,9,0,30
2026-08-08 17:56:36,8.2,87.8,4.1,23.4,17,5,1474560,13758464,18,69,576943,11773996,7511,8491,225,0,0,161,120,10,0,30
2026-08-08 17:56:41,8.7,87.3,4.1,23.4,17,5,192512,11186176,7,43,678080,13818096,9025,9933,226,1,0,160,118,10,0,30
2026-08-08 17:56:46,14.6,73.4,4.1,23.4,17,5,298605056,11522048,564,291,621809,11717409,7552,8653,212,1,0,124,35,51,0,30
2026-08-08 17:56:51,20.7,72.7,4.1,23.4,17,5,50728448,6755328,1352,379,77874,148926,205,237,215,9,1,130,38,59,1,30
2026-08-08 17:56:56,5.4,72.7,4.1,23.4,17,5,114688,598016,3,67,247,336,3,4,215,0,0,130,38,59,1,30
2026-08-08 17:57:01,13.0,51.8,4.1,23.4,17,5,9765888,2310144,353,138,592,296,8,4,194,1,0,103,17,62,0,22
2026-08-08 17:57:06,7.1,49.0,4.1,23.4,17,5,1526784,806912,56,105,546,172,9,2,191,0,0,94,8,62,0,22
2026-08-08 17:57:11,9.8,49.0,4.0,23.4,17,5,8951296,1671168,228,75,0,0,0,0,193,2,0,94,8,62,0,22
2026-08-08 17:57:16,4.1,48.7,4.0,23.4,17,5,504320,319488,14,32,368,684,4,3,190,0,0,95,8,62,0,22
2026-08-08 17:57:21,5.4,48.1,4.0,23.4,17,5,867840,1421312,35,160,25446,50039,77,102,186,0,0,98,11,63,0,22
2026-08-08 17:57:26,3.5,48.0,4.0,23.4,17,5,49152,405504,1,13,86,86,1,1,186,0,0,98,11,63,0,22
2026-08-08 17:57:31,4.8,47.9,4.0,23.4,17,5,241664,995328,7,23,0,0,0,0,186,0,0,98,11,63,0,22
2026-08-08 17:57:36,5.1,47.9,4.0,23.4,17,5,167936,344064,7,19,74,0,1,0,186,0,0,97,11,63,0,22
2026-08-08 17:57:41,3.7,47.8,4.0,23.4,17,5,2068480,7647232,121,861,0,0,0,0,186,0,0,97,11,63,0,22
2026-08-08 17:57:46,4.3,47.9,4.0,23.4,17,5,108032,282624,14,13,0,0,0,0,186,0,0,97,11,63,0,22
2026-08-08 17:57:51,17.0,49.2,4.0,23.4,17,5,71127552,1781760,2497,113,28522,23701,32,46,187,2,1,98,13,63,0,22
2026-08-08 17:57:56,9.9,49.1,4.0,23.4,17,5,1819648,1703936,128,140,128,128,2,2,186,0,0,98,13,63,0,22
2026-08-08 17:58:02,8.3,49.2,4.0,23.4,17,5,438272,1155072,23,79,75,86,1,1,186,0,0,97,13,62,0,22
2026-08-08 17:58:07,13.4,47.7,4.0,23.4,17,5,3342336,966656,161,69,1133,2043,12,12,185,0,0,96,13,61,0,22
2026-08-08 17:58:12,5.5,47.6,3.8,23.4,17,5,9080832,446464,234,37,0,0,0,0,185,0,0,95,13,60,0,22
2026-08-08 17:58:17,3.8,47.4,3.8,23.4,17,5,32768,716800,2,27,0,3729,0,36,185,0,0,95,13,60,0,22
2026-08-08 17:58:22,4.6,47.3,3.8,23.4,17,5,0,634880,0,55,0,0,0,0,185,0,0,93,13,58,0,22
2026-08-08 17:58:27,3.8,47.3,3.8,23.4,17,5,0,495616,0,25,0,0,0,0,185,0,0,93,13,58,0,22
2026-08-08 17:58:32,3.9,47.3,3.8,23.4,17,5,1196032,3596288,71,350,0,288,0,4,184,1,0,90,13,55,0,22
2026-08-08 17:58:37,3.9,47.2,3.8,23.4,17,5,65536,466944,1,26,150,172,2,2,183,0,0,88,13,53,0,22
2026-08-08 17:58:42,4.7,47.2,3.8,23.4,17,5,1019904,462848,207,34,296,148,4,2,183,0,0,88,11,55,0,22
2026-08-08 17:58:47,4.9,47.2,3.8,23.4,17,5,2171904,532480,46,32,148,359,2,4,183,0,0,41,10,9,0,22
2026-08-08 17:58:52,15.0,47.9,3.8,23.4,17,5,40633856,827904,1807,72,386,430,5,5,185,2,0,38,10,6,0,22
2026-08-08 17:58:57,11.2,48.9,3.8,23.4,17,5,5570560,1052672,159,72,-7134,-456,-36,-3,185,0,0,37,2,6,0,21
2026-08-08 17:59:02,4.2,48.8,3.8,23.4,17,5,81920,552960,3,53,358,0,2,0,185,0,0,34,2,3,0,21
2026-08-08 17:59:08,5.2,48.9,3.8,23.4,17,5,0,258048,0,10,179,0,1,0,185,0,0,34,2,3,0,21
2026-08-08 17:59:13,5.2,48.7,3.8,23.4,17,5,114688,512000,5,31,179,0,1,0,185,0,0,26,1,3,0,21
2026-08-08 17:59:18,4.0,48.7,3.8,23.4,17,5,114688,438272,2,29,0,0,0,0,185,0,0,26,1,3,0,21
2026-08-08 17:59:23,4.3,48.7,3.8,23.4,17,5,1871872,708608,62,53,0,0,0,0,185,0,0,25,1,2,0,21
2026-08-08 17:59:28,3.4,48.8,3.8,23.4,17,5,16384,385024,1,24,0,0,0,0,185,0,0,25,1,2,0,21
2026-08-08 17:59:33,3.7,48.7,3.8,23.4,17,5,280576,401408,10,17,42,60,1,1,185,0,0,25,0,2,0,21
2026-08-08 17:59:38,4.1,48.7,3.8,23.4,17,5,8192,1163264,1,134,0,0,0,0,185,0,0,24,0,2,0,21
2026-08-08 17:59:43,4.2,48.7,3.8,23.4,17,5,262144,356352,7,12,0,0,0,0,185,0,0,24,0,2,0,21
2026-08-08 17:59:48,3.5,48.6,3.8,23.4,17,5,0,405504,0,19,0,0,0,0,184,0,0,24,0,2,0,21
2026-08-08 17:59:53,3.7,48.6,3.7,23.4,17,5,2064384,679936,59,34,0,0,0,0,185,1,0,24,0,2,0,21
2026-08-08 17:59:58,4.0,48.5,3.7,23.4,17,5,448512,1959936,31,168,0,0,0,0,183,0,0,24,0,2,0,21
2026-08-08 18:00:03,5.3,48.5,3.7,23.4,18,5,4820992,380928,250,13,0,0,0,0,184,1,0,23,0,2,0,21
2026-08-08 18:00:08,4.0,48.6,3.7,23.4,18,5,65536,716800,1,23,0,0,0,0,184,0,0,23,0,2,0,21
2026-08-08 18:00:13,3.7,48.5,3.7,23.4,18,5,98304,745472,6,73,0,0,0,0,184,0,0,23,0,2,0,21
2026-08-08 18:00:18,4.6,48.5,3.7,23.4,18,5,339968,368640,11,13,0,0,0,0,184,0,0,23,0,2,0,21
2026-08-08 18:00:23,3.8,48.4,3.7,23.4,18,5,65536,434176,1,20,0,0,0,0,184,0,0,23,0,2,0,21
2026-08-08 18:00:28,3.5,48.3,3.7,23.4,18,5,73728,446464,4,16,0,0,0,0,184,0,0,23,0,2,0,21
